 18 3 28 43.26 +31 17 33.11 I    23   9
 25 3 28 58.41 +31 22 17.64 I    89  38
 30 3 29 04.94 +31 20 38.59 FS   67  57
 31 3 29 07.76 +31 21 57.34 I    82
 34 3 29 09.08 +31 23 05.66 I   103  63
 36 3 29 12.94 +31 18 14.55 I    34  71
 45 3 28 43.56 +31 17 36.53 FS   26  10
 46 3 28 44.08 +31 20 52.89 II  137  11
 47 3 28 46.18 +31 16 38.66 II   13  14
 48 3 28 47.63 +31 24 06.14 II  110  15
 49 3 28 47.82 +31 16 55.32 II   17  16
 50 3 28 51.02 +31 18 18.53 II   36  19
 51 3 28 51.06 +31 16 32.63 II  128  20
 52 3 28 51.19 +31 19 54.94 II   53  21
 53 3 28 52.13 +31 15 47.24 II    2
 54 3 28 52.15 +31 22 45.41 II   99  23
 57 3 28 53.93 +31 18 09.30 II   32  25
 59 3 28 54.61 +31 16 51.29 II   16  27
 61 3 28 55.07 +31 16 28.82 II   11  28
 62 3 28 55.14 +31 16 24.73 II   10
 63 3 28 56.08 +31 19 08.58 II   43
 64 3 28 56.31 +31 22 28.02 FS   92
 65 3 28 56.64 +31 18 35.67 II   39  30
 67 3 28 56.95 +31 16 22.26 II    9  32
 69 3 28 57.69 +31 19 48.12 II   51  35
 73 3 28 59.31 +31 15 48.48 FS    3  39
 74 3 28 59.55 +31 21 46.76 II   80  41
 75 3 29 00.15 +31 21 09.27 II   74  42
 76 3 29 02.15 +31 16 11.41 II    5  47
 77 3 29 02.79 +31 22 17.36 II   88
 78 3 29 03.13 +31 22 38.22 II   96  50
 79 3 29 03.20 +31 25 45.32 II  152
 80 3 29 03.39 +31 18 40.06 II   40
 82 3 29 03.86 +31 21 48.77 II   81  52
 85 3 29 04.72 +31 11 35.03 II  179
 88 3 29 05.76 +31 16 39.68 II   14  58
 91 3 29 07.93 +31 22 51.56 II  100  61
 97 3 29 10.40 +31 21 59.29 II   84  64
103 3 29 11.87 +31 21 27.09 FS   78  69
106 3 29 13.12 +31 22 52.88 II  101  72
109 3 29 16.59 +31 23 49.62 II  109  77
111 3 29 17.66 +31 22 45.15 II   98  79
114 3 29 18.72 +31 23 25.54 FS  106  81
115 3 29 20.04 +31 24 07.57 FS  111  84
116 3 29 20.42 +31 18 34.29 II   37  86
118 3 29 21.55 +31 21 10.52 II   76  88
119 3 29 21.87 +31 15 36.39 II  165  90
120 3 29 23.14 +31 20 30.46 II  135
123 3 29 25.92 +31 26 40.12 FS  175
125 3 29 29.78 +31 21 02.79 II   72 103
126 3 29 30.39 +31 19 03.45 II  132
128 3 29 32.86 +31 27 12.68 II  183 106
136 3 29 26.78 +31 26 47.72 TD  176 100
137 3 29 29.26 +31 18 34.85 TD   38 102
138 3 28 36.51 +31 19 29.07 III  47   4
139 3 28 36.92 +31 17 35.49 III  25   6
140 3 28 36.94 +31 23 12.13 III 104   5
141 3 28 46.87 +31 20 27.66 III  61
142 3 28 48.17 +31 19 23.49 III  45
143 3 28 50.95 +31 23 48.00 III 108
144 3 28 54.96 +31 18 15.35 III  35
145 3 28 55.06 +31 14 16.49 III 162
146 3 28 55.25 +31 17 35.42 III 129
147 3 28 56.22 +31 17 45.75 III  28
148 3 28 57.04 +31 15 02.85 III 123
149 3 29 00.31 +31 13 38.60 III 161  43
150 3 29 00.37 +31 20 45.71 III  68  44
151 3 29 00.70 +31 22 00.82 III  85  45
152 3 29 02.97 +31 15 16.73 III   1  49
153 3 29 04.05 +31 17 07.58 III  20  53
154 3 29 04.16 +31 25 15.16 III 149  54
155 3 29 04.62 +31 20 29.03 III  62
156 3 29 08.32 +31 20 20.45 III  60
157 3 29 12.78 +31 20 07.60 III  56  70
158 3 29 13.61 +31 17 43.55 III  27
159 3 29 16.55 +31 21 02.49 III  71
160 3 29 16.68 +31 16 18.24 III   8  78
161 3 29 19.76 +31 24 57.17 III 116
162 3 29 22.04 +31 24 15.41 III 112  91
163 3 29 23.49 +31 23 30.94 III 107  93
164 3 29 28.15 +31 16 28.64 III 166 101
165 3 29 34.30 +31 17 43.42 III 169 107
171 3 29 11.30 +31 17 17.67 III  22  67
173 3 29 30.54 +31 27 28.02 III 188
174 3 29 46.39 +31 20 39.52 III 171
177 3 29 24.82 +31 24 06.23 III 143
178 3 28 58.10 +31 18 03.79 III  30  36
179 3 29 02.88 +31 16 01.16 III   4  48
180 3 28 57.41 +31 19 50.63 III  52  34
181 3 28 57.20 +31 14 19.08 III 163  33
182 3 28 59.34 +31 16 31.51 III  12
183 3 29 09.16 +31 21 44.56 III  79
184 3 29 10.79 +31 22 30.27 III  94  66
185 3 29 14.43 +31 22 36.35 III  95  75
186 3 29 23.69 +31 25 09.62 III 148
